"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"25160","mu1[8245]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25161","mu1[8246]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25162","mu1[8247]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25163","mu1[8248]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25164","mu1[8249]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25165","mu1[8250]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25166","mu1[8251]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25167","mu1[8252]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25168","mu1[8253]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25169","mu1[8254]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25170","mu1[8255]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25171","mu1[8256]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25172","mu1[8257]",-569.4416,-569.441,0.000999999999976353,0,-569.443,-569.4402,1.01968832230677,10.415765450896,9.10344827586207
"25173","mu1[8258]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25174","mu1[8259]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25175","mu1[8260]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25176","mu1[8261]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25177","mu1[8262]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25178","mu1[8263]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25179","mu1[8264]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25180","mu1[8265]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25181","mu1[8266]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25182","mu1[8267]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25183","mu1[8268]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25184","mu1[8269]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25185","mu1[8270]",-1117.628,-1117.6,0.0596517672272929,0.029651999999973,-1117.73,-1117.58,2.17222211571227,1.84149690183985,10.3080260303688
"25186","mu1[8271]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25187","mu1[8272]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25188","mu1[8273]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25189","mu1[8274]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25190","mu1[8275]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25191","mu1[8276]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25192","mu1[8277]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25193","mu1[8278]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25194","mu1[8279]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25195","mu1[8280]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25196","mu1[8281]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25197","mu1[8282]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25198","mu1[8283]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25199","mu1[8284]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25200","mu1[8285]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25201","mu1[8286]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25202","mu1[8287]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25203","mu1[8288]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25204","mu1[8289]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25205","mu1[8290]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25206","mu1[8291]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25207","mu1[8292]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25208","mu1[8293]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25209","mu1[8294]",-2175.7852,-2175.79,0.00509901951347221,0,-2175.79,-2175.78,1.54380482358792,2.59247135842881,NA
"25210","mu1[8295]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25211","mu1[8296]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25212","mu1[8297]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25213","mu1[8298]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25214","mu1[8299]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25215","mu1[8300]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25216","mu1[8301]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25217","mu1[8302]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25218","mu1[8303]",NA,NA,NA,NA,NA,NA,NA,NA,NA
